Customer ID,Recency,Frequency,Monetary,Cluster,Cluster_name
12347.0,3,2,1323.32,2,Обычные
12348.0,74,1,222.16,0,Новые
12349.0,43,4,2646.99,1,Лояльные
12351.0,11,1,300.93,0,Новые
12352.0,11,2,343.8,0,Новые
12353.0,44,1,317.76,0,Новые
12355.0,203,1,488.21,3,Группа риска
12356.0,16,3,3562.25,1,Лояльные
12358.0,11,3,2719.01,2,Обычные
12359.0,61,8,2469.36,1,Лояльные
12360.0,15,6,1550.83,2,Обычные
12361.0,98,3,321.35,0,Новые
12362.0,374,1,130.0,3,Группа риска
12366.0,269,1,500.24,3,Группа риска
12368.0,264,1,917.7,3,Группа риска
12369.0,49,3,1791.15,2,Обычные
12370.0,260,3,774.62,3,Группа риска
12371.0,45,3,2179.42,2,Обычные
12373.0,260,2,763.0500000000001,3,Группа риска
12374.0,57,3,2246.29,2,Обычные
12376.0,25,2,503.15,0,Новые
12377.0,17,2,1798.2,2,Обычные
12378.0,198,1,1407.7,3,Группа риска
12379.0,58,2,767.98,0,Новые
12385.0,15,2,1923.4,2,Обычные
12386.0,2,1,258.9,0,Новые
12387.0,51,1,143.94,0,Новые
12388.0,81,2,1120.45,0,Новые
12389.0,38,3,1433.33,2,Обычные
12391.0,100,6,2286.93,1,Лояльные
12392.0,227,1,234.75000000000003,3,Группа риска
12393.0,18,3,794.15,0,Новые
12395.0,7,4,2048.64,2,Обычные
12396.0,310,1,931.43,3,Группа риска
12399.0,21,3,853.65,0,Новые
12400.0,50,1,205.25,0,Новые
12402.0,28,6,1018.55,2,Обычные
12403.0,157,1,591.6600000000001,3,Группа риска
12404.0,318,1,63.24,3,Группа риска
12406.0,24,4,2791.46,1,Лояльные
12408.0,15,5,1437.07,2,Обычные
12410.0,138,1,320.38,0,Новые
12411.0,45,1,346.9,0,Новые
12412.0,38,5,1354.15,2,Обычные
12413.0,38,1,241.35,0,Новые
12414.0,99,5,130.0,0,Новые
12416.0,292,1,202.56,3,Группа риска
12418.0,49,4,1348.37,2,Обычные
12419.0,21,2,503.01,0,Новые
12421.0,51,3,286.56,0,Новые
12423.0,23,2,763.08,0,Новые
12424.0,58,5,1528.82,2,Обычные
12425.0,66,2,903.61,0,Новые
12426.0,282,2,728.6800000000001,3,Группа риска
12427.0,7,1,303.5,0,Новые
12429.0,1,6,3685.11,1,Лояльные
12434.0,17,1,297.29,0,Новые
12439.0,318,3,1104.48,3,Группа риска
12440.0,93,3,768.15,0,Новые
12441.0,2,1,173.55,0,Новые
12443.0,368,1,485.31,3,Группа риска
12445.0,36,2,293.08000000000004,0,Новые
12449.0,46,2,768.6,0,Новые
12450.0,35,5,469.07,2,Обычные
12451.0,99,4,3613.01,1,Лояльные
12455.0,81,4,3413.09,1,Лояльные
12457.0,53,2,554.53,0,Новые
12458.0,63,2,830.09,0,Новые
12459.0,241,1,454.36,3,Группа риска
12460.0,92,1,326.65,0,Новые
12466.0,318,1,56.73,3,Группа риска
12468.0,66,7,2900.51,1,Лояльные
12469.0,158,2,3070.54,2,Обычные
12470.0,325,1,211.95,3,Группа риска
12475.0,45,1,426.26,0,Новые
12480.0,35,4,2153.4700000000003,2,Обычные
12484.0,113,8,1808.58,1,Лояльные
12485.0,165,1,708.1,3,Группа риска
12486.0,67,1,1037.28,0,Новые
12487.0,366,2,259.79999999999995,3,Группа риска
12492.0,39,1,452.0,0,Новые
12494.0,1,5,604.17,2,Обычные
12495.0,270,2,323.4,3,Группа риска
12496.0,256,2,54.09,3,Группа риска
12499.0,196,1,393.72,3,Группа риска
12500.0,71,12,1666.04,1,Лояльные
12503.0,220,1,1126.0,3,Группа риска
12504.0,53,2,297.0,0,Новые
12505.0,29,2,912.5,0,Новые
12507.0,220,1,539.25,3,Группа риска
12511.0,50,2,3065.77,2,Обычные
12514.0,277,1,580.08,3,Группа риска
12516.0,66,2,1336.56,2,Обычные
12519.0,100,2,354.35,0,Новые
12525.0,127,8,835.1800000000001,2,Обычные
12527.0,130,2,386.8,0,Новые
12529.0,158,2,311.78000000000003,3,Группа риска
12530.0,45,7,2066.23,1,Лояльные
12531.0,316,2,1773.83,3,Группа риска
12533.0,254,6,1149.99,3,Группа риска
12537.0,44,1,732.94,0,Новые
12538.0,14,1,276.5,0,Новые
12542.0,120,4,423.38,0,Новые
12543.0,84,1,980.25,0,Новые
12547.0,136,1,175.78,0,Новые
12549.0,211,6,1575.68,2,Обычные
12553.0,21,3,896.57,0,Новые
12554.0,84,1,468.5,0,Новые
12555.0,318,1,129.23,3,Группа риска
12562.0,21,2,1185.18,0,Новые
12563.0,44,1,249.24,0,Новые
12568.0,280,1,70.0,3,Группа риска
12570.0,318,1,77.52,3,Группа риска
12573.0,17,4,556.87,0,Новые
12575.0,93,2,622.8199999999999,0,Новые
12576.0,28,5,776.89,2,Обычные
12577.0,17,5,995.95,2,Обычные
12578.0,21,3,1819.09,2,Обычные
12580.0,212,1,637.2,3,Группа риска
12582.0,58,2,1469.04,2,Обычные
12586.0,4,4,1848.73,2,Обычные
